,title,price,description,colour,category
143,sports leggings high waist,29.99,"ankle length sports leggings in fast drying, functional fabric with a high waist and wide waistband with concealed key pocket. polyester 74%, elastane 26%",black brown black zebra print,bottoms
144,lace hipster briefs,9.99,"hipster briefs in lace with wide sides, cutaway coverage at back, and a low waist. lined gusset. lace: polyamide 92%, elastane 8%",white,lingerie
145,h&m+ jersey top,17.99,"short sleeved top in soft viscose jersey with a slight sheen and visible seams. slightly wider neckline. rounded hem, longer at back. viscose 100%",dusty rose,tops
146,fine knit sweater,12.99,"fine knit, v neck sweater with ribbing at neckline, cuffs, and hem. viscose 70%, polyamide 30%",black,outerwear
147,striped pajamas,34.99,"pajama top and pants in woven, supersoft viscose fabric. wide, sleeveless top with open back and shoulder straps crossed at back. pants with covered elastication at back of waist, drawstring at front, and straight, wide, 3/4 length legs. viscose 100%",white light blue white light blue striped,loungewear
148,fluffy cardigan,34.99,"short, knit cardigan in fluffy yarn with long sleeves and no buttons. acrylic 100%",black white black white checked,outerwear
149,2 pack microfiber push up bras,19.99,"push up bras in microfiber with lace details. padded, molded underwire cups to maximize bust and cleavage. adjustable shoulder straps. section at back with two hook and eye fasteners. polyamide 85%, elastane 15%",black black white,lingerie
150,wide leg sports pants,29.99,"wide leg sports pants in fast drying, functional fabric. elasticized drawstring waistband, side pockets, and straight legs. polyester 93%, elastane 7%",dusty rose,pants
151,loose knit cardigan,12.99,"conscious. long sleeved cardigan in a soft, loose knit with no buttons. made partly from recycled polyester. polyester 52%, viscose 46%, elastane 2%",light gray melange,outerwear
152,short sports top,14.99,"short, wide cut sports top in fast drying, functional fabric with short sleeves. polyester 75%, viscose 13%, cotton 12%",powder pink,tops
153,2 pack lace thong briefs,12.99,"thong briefs in lace with a low waist, wide sides, and thong back. lined gusset. polyamide 94%, elastane 6%",dark blue,lingerie
154,h&m+ shaping swimsuit,34.99,"fully lined shaping swimsuit with sculpting effect on tummy, back, and seat. wrapover top and lightly padded cups. boning in sides, decorative gathers at sides, and wide, adjustable shoulder straps. lining: polyester 88%, elastane 12%",black white black paisley-patterned,plus size
155,h&m+ wool blend cardigan,79.99,"premium quality. long, knit cardigan in a soft wool and alpaca blend. heavily dropped shoulders, long, wide sleeves, and ribbing at cuffs and hem. no buttons. alpaca 35%, wool 35%, polyamide 27%, elastane 3%",light beige melange,outerwear
156,h&m+ printed sweatshirt,24.99,"sweatshirt with a printed design. long raglan sleeves, ribbing at neckline, cuffs, and hem, and soft, brushed inside. cotton 60%, polyester 40%",red white red happy holidays,outerwear
157,sports pants,34.99,"conscious. sports pants in lightweight, fast drying, functional fabric. wide, elasticized waistband with drawstring, and side pockets. polyester content is partly recycled. polyester 86%, elastane 14%",black,pants
158,silk briefs with lace,29.99,"briefs in soft, stretch silk and lace with a regular waist and high cut back. gusset lining: cotton 100%",dark blue,lingerie
159,3 pack cotton hipster briefs,9.99,"hipster briefs in cotton jersey with wide sides and medium coverage at back. regular waist and lined gusset. cotton 85%, viscose 10%, elastane 5%",burgundy dark gray melange black burgundy,lingerie
160,h&m+ cotton shirt,12.99,"longer shirt in woven cotton fabric with a collar. buttons at front, buttons at cuffs, and yoke at back with pleat. rounded hem. cotton 100%",powder beige white powder beige striped,tops
161,3 pack lace thong briefs,12.99,"thongs in lace with a low waist, narrow sides, and thong at back. lined gusset. polyamide 84%, elastane 16%",black light powder pink beige black leopard print,lingerie
162,cashmere sweater,149.00,"premium quality. knit sweater in soft cashmere. round neckline, long raglan sleeves, and ribbing at neckline, cuffs, and hem. cashmere 100%",dark brown,outerwear
163,h&m+ super skinny high jeans,49.99,"5 pocket, ankle length jeans in washed stretch denim with heavily distressed details. high waist, zip fly with button, and super skinny legs. cotton 95%, elasterell p 4%, elastane 1%",denim blue,jeans
164,h&m+ v neck sweater,19.99,"wide cut, v neck sweater in a soft, fine knit with dropped shoulders, long sleeves, and ribbing at cuffs and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",light gray melange,outerwear
165,fine knit wool blend sweater,59.99,"conscious exclusive. fitted, fine knit sweater in tencel ® lyocell and wool with hole embroidered sections. small stand up collar, long sleeves with covered buttons at cuffs, and rolled edges at neckline, cuffs, and hem. lyocell 80%, wool 20%",pigeon blue,outerwear
166,knit poncho,19.99,"soft, knit poncho with wool content and open sides. length at front and back 31 1/2 in. polyester 38%, polyamide 34%, viscose 25%, wool 3%",black,outerwear
167,sports bra high support,24.99,"sports bra in fast drying, functional fabric. mesh racer back, lightly padded cups with removable inserts, and a wide, elasticized lower edge. extra firm support. cup lining: polyester 86%, elastane 14%",black yellow pink black patterned,lingerie
168,rib knit turtleneck sweater,39.99,"soft, rib knit sweater with wool content. turtleneck, dropped shoulders, and long sleeves. slits at sides and slightly longer hem at back. acrylic 63%, polyamide 32%, wool 5%",red melange,outerwear
169,knit cardigan,17.99,"cardigan in a soft knit with dropped shoulders, long sleeves, and front pockets. no buttons. acrylic 100%",emerald green,outerwear
170,mama super skinny jeans,34.99,"jeans in washed stretch denim. mock front pockets, regular back pockets, and skinny legs. wide ribbing at waist for added comfort. cotton 76%, polyester 22%, elastane 2%",blue,jeans
171,cable knit cardigan,49.99,"cardigan in a soft cable knit with a deep v neck and buttons down the front. dropped shoulders, long sleeves and patch front pockets. acrylic 100%",black,outerwear
172,h&m+ wrap dress,59.99,"short dress in woven cotton fabric with wide ruffles at top. low cut v neck, wrapover front and back, and narrow ties to fasten at one side. lined skirt. cotton 100%",white,dress
173,mama 2 pack cotton briefs,14.99,"conscious. briefs in organic cotton jersey with lace details. high waist, full coverage at the back, and gathers at sides for improved fit over tummy. lined gusset. lace: polyamide 82%, elastane 18%",powder pink light gray melange,lingerie
174,sports bra low support,17.99,"lined sports bra in fast drying, functional fabric with elasticized lower edge. light support. designed with a minimum of seams for a more comfortable fit and added freedom of movement. panels: polyamide 82%, elastane 18%",dark grey mole,lingerie
175,3 pack cotton bikini briefs,14.99,"bikini briefs in cotton jersey with lace trim, low waist, and medium coverage at back. lined gusset. cotton 85%, viscose 10%, elastane 5%",light gray melange powder pink dark gray melange light gray melange,lingerie
176,h&m+ 2 pack shaping briefs,19.99,"shaping briefs in microfiber. high waist, laser cut edges, and lined gusset. light sculpting effect on waist, seat, and hips. gusset lining: cotton 100%",black black beige,lingerie
177,lace brazilian briefs,6.99,"brazilian briefs in lace with a low waist, high cut back, and lined gusset. polyamide 89%, elastane 11%",vintage pink,lingerie
178,cable knit sweater,34.99,"soft, cable knit sweater with dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. acrylic 93%, polyamide 7%",powder pink,outerwear
179,lace push up bralette,24.99,"bralette in lace with padded underwire cups to maximize bust and cleavage. boning between cups, adjustable shoulder straps, and lace trim at lower edge. wide section with hook and eye fasteners at back. mesh: polyamide 82%, elastane 18%",dark red,lingerie
180,lace brazilian briefs,6.99,"brazilian briefs in lace with a low waist, high cut back, and lined gusset. polyamide 88%, elastane 12%",light taupe,lingerie
181,h&m+ knit sweater,19.99,"soft knit sweater with dropped shoulders and wide sleeves. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",orange,outerwear
182,mama skinny jeans,49.99,"jeans in washed stretch denim. mock front pockets, regular back pockets, and skinny legs. wide ribbing at waist for improved fit over tummy. cotton 78%, polyester 20%, elastane 2%",dark blue,jeans
183,3 pack lace thong briefs,9.99,"briefs in lace with a low waist, narrow sides, and thong back. lined gusset. gusset lining: cotton 100%",black,lingerie
184,3 pack lace thong briefs,12.99,"thongs in lace with a low waist, narrow sides, and thong at back. lined gusset. gusset lining: cotton 100%",powder pink dark blue,lingerie
185,ribbed sweater,24.99,short sweater in a soft rib knit. heavily dropped shoulders and long sleeves. acrylic 100%,light gray melange,outerwear
186,3 pack cotton bikini briefs,14.99,"bikini briefs in cotton and lace with a low waist, wide sides, and medium coverage at back. lined gusset. cotton 95%, elastane 5%",light powder pink,lingerie
187,knit sweater,49.99,"soft, jacquard knit sweater with wool content. folded detail at shoulders for a defined silhouette. long, wide sleeves and ribbing at neckline, cuffs, and hem. acrylic 66%, polyester 18%, polyamide 8%, wool 8%",light beige green light beige zebra print,outerwear
188,running tights,34.99,"running tights in fast drying, functional fabric. wide waistband with concealed drawstring, zip at hems, and reflective details. polyester 88%, elastane 12%",black,bottoms
189,lace thong briefs,9.99,"thong briefs in lace with a low waist and lined gusset. lace: polyamide 88%, elastane 12%",black,lingerie
190,wrap front cardigan,24.99,"soft, knit cardigan with long sleeves, wrapover front, and removable tie belt at waist. acrylic 50%, cotton 50%",rust red,outerwear
191,push up bralette,17.99,bralette in lace with padded underwire cups and removable inserts to maximize bust and cleavage. adjustable shoulder straps and hook and eye fastening at back. cup lining: polyester 100%,white,lingerie
192,underwire lace bra,17.99,"underwire bra in lace with mesh lined cups for a natural shape and good support. narrow, adjustable shoulder straps and hook and eye fasteners at back. lace: polyamide 89%, elastane 11%",black,lingerie
193,mama nursing dress,39.99,"dress in woven fabric with a unique nursing feature – double layer at top helps retain warmth while allowing easier nursing access. collar, seam at waist, and side pockets. long sleeves with roll up tab and button. cotton 100%",natural white black brown natural white checked,dress
194,3 pack cotton hipster briefs,12.99,"hipster briefs in cotton jersey with lace trim. regular waist, wide sides, and cutaway coverage at back. lined gusset. cotton 95%, elastane 5%",black,lingerie
195,2 pack cotton push up bras,17.99,"push up bras in soft cotton jersey with lace. molded, padded underwire cups to maximize bust and cleavage. adjustable shoulder straps and narrow back section with fastener. cotton 95%, elastane 5%",white black,lingerie
