,title,brand,price,description,colour,category
104,Les Girls Les Boys reflective logo slim track pants in black,Les Girls Les Boys,143.93,"     Your casual vibe, sorted  Stretch waistband  side pockets  Branded detail to leg  Slim fit  A narrow cut from hips to hem ",missing,bottoms
105,ASOS DESIGN Curve lounge velour off shoulder sweat and jogger,Les Girls Les Boys,68.36,missing,missing,bottoms
106,Missguided cigarette trousers in black,Missguided,32.38,     High rise      Just like your standards       Split cuffs      It's all in the details      Skinny fit  Cut very closely to the body  ,missing,bottoms
107,ASOS DESIGN utility jogger in organic cotton,ASOS DESIGN,39.58,      Part of our responsible edit     High rise    Drawstring waistband       Functional pockets      Fitted cuffs      Slim fit  A narrow cut from hips to hem ,missing,bottoms
108,Mauvais cropped tapered trousers with chain and logo in grey,Mauvais,80.96,"      For your everyday thing    Regular rise    Concealed fly        Functional pockets        Cropped length  Chain detail  Slim, tapered fit  Cut closely around the thigh with a narrow shape through the leg ",missing,bottoms
109,ASOS DESIGN Curve chino trousers,ASOS DESIGN,35.98,     Part of our responsible edit  Mid-rise waist  Concealed fly  Functional pockets  Regular fit  Just select your usual size ,missing,bottoms
110,Urban Bliss cord wide leg trousers with self belt detail,Urban Bliss,57.57,"     Buy them now, wear them forever  High rise  Belted waist  Concealed fly  Functional pockets  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
111,Skylar Rose Plus flared trousers in sleek sequin co-ord,Skylar Rose,98.95,"      If it sparkles, we're into it    Sequin design    High rise   Flared shape  Cut with a straight leg that flares at the knee ",missing,bottoms
112,ASOS DESIGN pop slim suit trousers,ASOS DESIGN,57.57 , Worth making plans for  Mid rise  Concealed fly with button fastening  Two functional pockets  Suit-style seaming   Slim fit  For a tailored silhouette ,missing,bottoms
113,ASOS DESIGN utility slim trousers,ASOS DESIGN,62.97,     Cue the party playlist  High rise  Concealed fly  Belted waist  Functional pockets  Slim fit  A narrow cut from hips to hem ,missing,bottoms
114,ASOS DESIGN paperbag trousers with d ring in lilac,ASOS DESIGN,57.57,"      Add them to your everyday line-up   High-rise waist  D-ring belt   Side pockets  Regular, tapered fit  A standard cut around the thigh with a narrow shape through the leg ",missing,bottoms
115,ASOS DESIGN Maternity under the bump ultimate jersey peg trousers,ASOS Maternity,28.79,      For when comfort is key     Elasticated over-bump waist       Side pockets      Tapered leg      Regular fit   Designed to fit you from bump to baby ,missing,bottoms
116,The Couture Club tapered jogger in khaki,ASOS Maternity,71.96,"      Add-to-bag potential: considerable   Drawstring waistband  Side pockets   Small logo   Regular, tapered fit  A standard cut around the thigh with a narrow shape through the leg ",missing,bottoms
117,Missguided co-ord knitted culottes in blue,Missguided,39.58,"      Part of a co-ord set    Top sold separately     High rise       Ribbed design  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
118,Pink Clove wide utility leg trouser with button detail in beige,Pink Clove,35.98,     Put the jeans away for a day   High-rise shirred waist        Side pockets        Wide-cut leg       Regular fit  Just select your usual size ,missing,bottoms
119,Bershka trousers with braces detail in black,Bershka,46.76,     An alternative to your jeans  Stretch-back waistband  Concealed fly  Detachable braces  Cargo-style pockets  Skinny fit  Cut very closely from hips to hem ,missing,bottoms
120,ASOS DESIGN Petite carpenter trouser in acid wash pink,ASOS DESIGN,62.97,      Part of our responsible edit    High-rise belted waist       Concealed fly      Side pockets      Jet back pockets  Flared shape  Cut with a slim leg that flares at the knee ,missing,bottoms
121,Public Desire trousers with cut out hip and contrast stitching in vinyl,Public Desire,59.35,     Worth making plans for  Mid-rise waist  Cut-out details  Zip-back fastening  Contrast stitching  Straight leg  Regular fit  Just select your usual size ,missing,bottoms
122,Miss Selfridge paperbag waist trousers in rust,Miss Selfridge,57.57,     For your daytime thing      High rise      Drawstring waist      Functional pockets      Cropped length  Regular fit  Just select your usual size ,missing,bottoms
123,ASOS DESIGN wide leg trousers with clean high waist,ASOS DESIGN,44.98,"     When trackies just won't cut it      High rise  Zip-side fastening  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
124,Nike Pro Training capri legging in black,Nike,53.97,     Working out just got techy  High rise  Branded stretch waistband  Nike Swoosh logo  Cropped length  Bodycon fit  A tight cut to the body ,missing,bottoms
125,ASOS DESIGN lounge travel mix & match rib legging short,ASOS DESIGN,21.59,      Part of a co-ord set    Top sold separately    High-rise waist       Elasticated waistband  Bodycon fit  A tight cut to the body ,missing,bottoms
126,ASOS DESIGN Petite pop slim suit trousers in black,ASOS DESIGN,57.57,     Add them to your everyday line-up      High-rise waist      Concealed fly      Side pockets  Slim fit  A narrow cut from hips to hem ,missing,bottoms
127,Another Reason Plus relaxed t-shirt & trousers in plisse co-ord,ASOS DESIGN,89.96,missing,missing,bottoms
128,ASOS DESIGN tailored tie waist tapered ankle grazer trousers,ASOS DESIGN,44.98,"     Put the jeans away for a day  High rise  Waist tie  Concealed fly  Functional pockets  Cropped length  Regular, tapered fit  A standard cut around the thigh with a narrow shape through the leg ",missing,bottoms
129,Puma Plus Heavy Fleece Joggers in Beige,PUMA,98.95,"     Give your jeans a day off      Drawstring waistband       Side pockets  Stretch cuffs  Slim, tapered fit  Cut closely around the thigh with a narrow shape through the leg  Exclusive to ASOS ",missing,bottoms
130,ASOS DESIGN utility jogger,ASOS DESIGN,39.58,"      Part of our responsible edit    Drawstring waistband       Side pockets  Regular, tapered fit  A standard cut around the thigh with a narrow shape through the leg ",missing,bottoms
131,River Island paperbag utility trousers in ecru,River Island,80.96,     Add-to-bag potential: considerable      High rise  Paperbag style  Belted waist  Side pockets  Cargo-style pockets to leg  Rolled-up cuffs  Regular fit  Just select your usual size ,missing,bottoms
132,Stradivarius check tie waist tailored trouser in multi,Stradivarius,46.76,      Put the jeans away for a day    Check pattern    High-rise drawstring waist        Side pockets       Regular fit  Just select your usual size ,missing,bottoms
133,New Look Tall leather look jogger in black,Stradivarius,41.36,"     An alternative to your jeans  Drawstring waist  Side pockets  Regular, tapered fit  A standard cut around the thigh with a narrow shape through the leg ",missing,bottoms
134,ASOS DESIGN Petite bandage skinny trouser with embellished trim,ASOS DESIGN,50.37,     Add-to-bag potential: considerable      High-rise waist      Embellished buckle  Skinny fit  Cut very closely from hips to hem ,missing,bottoms
135,Fiorucci Yvon vinyl trouser,ASOS DESIGN,350.82,     They’re everything you’ve been scrolling for  Mid-rise waist  Concealed fly  Functional pockets  Slim fit  A narrow cut from hips to hem ,missing,bottoms
136,Monki wide leg utility trousers in pink,Monki,53.97,"     Part of our responsible edit      High-rise waist      Zip fly      Four pockets  Contrast stitching   Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
137,Miss Selfridge cigarette trousers in blue,Miss Selfridge,44.98,     For your daytime thing      High rise      Concealed fly with hook-and-bar fastening fastening      Functional  pockets  Regular fit  Just select your usual size ,missing,bottoms
138,ASOS DESIGN pink floral suit trousers,ASOS DESIGN,62.97,      Add-to-bag potential: considerable    Floral print    High rise    Concealed fly     Side pockets    Regular fit    Just select your usual size  ,missing,bottoms
139,ASOS DESIGN dogtooth jacquard skinny trouser,ASOS DESIGN,44.98,     For your daytime thing  Dogtooth pattern      High rise      Stretch waistband  Skinny fit  Cut very closely from hips to hem ,missing,bottoms
