,title,price,brand,description,colour,category
595,waylon dress,42.00,Runway Bandits,"is a v-neck midi style with a heavier pleated hem that comes with a stark contrast colour piping. the flirty and fun pleated hem weighs down the dress to help create its structured, long column silhouette. it is also designed with a subtle slit at the back of the dress near the hem to facilitate movement without interfering with the pleated design. the construction is completed with a concealed back zip.",smoke blue,dress
596,ionia vest,38.00,Runway Bandits,the,sage,outerwear
597,tilney dress,40.00,Runway Bandits,looking to slip on something that’s both work-appropriate and comfortable? the,black,dress
598,waylon dress,42.00,Runway Bandits,"is a v-neck midi style with a heavier pleated hem that comes with a stark contrast colour piping. the flirty and fun pleated hem weighs down the dress to help create its structured, long column silhouette. it is also designed with a subtle slit at the back of the dress near the hem to facilitate movement without interfering with the pleated design. the construction is completed with a concealed back zip.",fjord blue,dress
599,ionia vest,38.00,Runway Bandits,the,oatmeal,outerwear
600,waylon dress,42.00,Runway Bandits,"is a v-neck midi style with a heavier pleated hem that comes with a stark contrast colour piping. the flirty and fun pleated hem weighs down the dress to help create its structured, long column silhouette. it is also designed with a subtle slit at the back of the dress near the hem to facilitate movement without interfering with the pleated design. the construction is completed with a concealed back zip.",apricot brandy,dress
601,tilney dress,40.00,Runway Bandits,looking to slip on something that’s both work-appropriate and comfortable? the,navy,dress
602,ionia vest,38.00,Runway Bandits,the,black,outerwear
603,wein top,28.00,Runway Bandits,basic tee cut from a ribbed knit material.,white,tops
604,godava shirt,32.00,Runway Bandits,classic button-down shirt with a fun black gingham print and a mandarin collar.,black gingham,tops
605,wein top,28.00,Runway Bandits,basic tee cut from a ribbed knit material.,mustard,tops
606,aeva dress,34.00,Runway Bandits,long-sleeved navy dress with a keyhole back design.,navy,dress
607,wein top,28.00,Runway Bandits,basic tee cut from a ribbed knit material.,black,tops
608,xyla cami,30.00,Runway Bandits,all business in the front and party at the back – at least that’s what the,olive,tops
609,xyla cami,30.00,Runway Bandits,all business in the front and party at the back – at least that’s what the,white,tops
610,caleigh dress,39.00,Runway Bandits,"inspired by the fun-loving mods of the ‘60s, the",malachite green,dress
