,name,price,colour,description,about_me,brand,category
64,French Connection sequin maxi skirt,176.01,Black multi,Add-to-bag potential: considerable High rise Side-zip fastenings    Side splits Regular fit Just select your usual size,"           Sequin-embellished fabric The kind that doesn't stretch   Body: 100% Polyester, Body Lining: 100% Polyester.",French Connection,skirts
65,ASOS DESIGN button front midi skirt with pockets in mono print,55.58,Mono heart,For your daytime thing High rise Button placket Two front pockets Regular fit Just select your usual size,           Lightweight viscose Soft and drapey  Body: 100% Viscose.,ASOS DESIGN,skirts
66,COLLUSION logo rib mini skirt,22.23,Black,For your daytime thing    High rise Stretch waistband    Branded detailing Mini length Slim fit Cut close to the body,"           Stretch jersey A soft, versatile fabric Main: 96% Viscose, 4% Elastane.",COLLUSION,skirts
67,New Look rib midi wrap skirt in black,24.07,Black,Easily dressed up or down    High rise Stretch waistband Crossover front with tie detail Regular fit Just select your usual size,           Soft jersey Ribbed finish,New Look,skirts
68,Pretty Lavish wrap midaxi skirt with ruffle hem in zebra,88.93,Brown multi,Add-to-bag potential: considerable Zebra print High rise Wrap design Tie waist Ruffle hem Regular fit Just select your usual size,           Lightweight woven fabric Drapes softly over the body  Body: 100% Polyester.,Pretty Lavish,skirts
69,ASOS DESIGN Petite plisse flippy mini skirt,25.94,Black,Add-to-bag potential: considerable High rise    Elasticated waist Regular fit Just select your usual size,           Lightweight plisse Finely pleated fabric Body: 100% Polyester.,ASOS DESIGN,skirts
70,ASOS DESIGN mono boucle mini suit skirt,46.32,Mono,For your daytime thing     High-rise waist    Check design    Zip-back fastening    Slim fit Cut close to the body,"           Textured boucléLooped fabric with a woolly finish Body: 95% Polyester, 5% Elastane.",ASOS DESIGN,skirts
71,New Girl Order tie side skirt in metallic disco fabric co-ord,29.64,Multi,Part of a co-ord set Bralet sold separately Mid rise Tie sides Mini length Regular fit Just select your usual size,"           Metallic woven fabric Disco-ball inspired Body: 95% Polyester, 5% Elastane.",New Girl Order,skirts
72,Y.A.S wool wrap midi skirt,101.9,Tan,Add it to your everyday line-up    High rise    Wrap front Tie waist Midi length Regular fit Just select your usual size,           Textured knit Soft-touch style  Body: 100% Polyester.,Y.A.S,skirts
73,Oasis mini skirt in polka dot,66.7,Multi,For your daytime thing    High-rise waist    Polka-dot design Regular fit Just select your usual size,"           Cotton-rich fabric The kind that doesn't stretch  Body: 80% Cotton, 20% Polyamide.",Oasis,skirts
74,Mango check print mini skirt in multi,66.68,Brown,Add-to-bag potential: considerable Check design High rise Belted waist Buckle detail Side pockets Regular fit Just select your usual size,"           Smooth-touch knit The kind that doesn't stretch  Main: 62% Polyester, 38% Cotton.",Mango,skirts
75,River Island knitted mesh skirt in black,70.4,Black,When your look is a mood Sheer finish High rise Stretch waistband Bodycon fit A tight cut to the body,"           Knitted fishnet mesh Criss-cross pattern  Main: 62% Viscose, 38% Nylon.",River Island,skirts
76,Vesper Plus co-ord midi skirt in red,61.14,Red,Part of a co-ord set Top sold separately High rise Zip-side fastening Bodycon fit A tight cut to the body Exclusive to ASOS,"           Smooth, woven fabric The kind that stretches Fabric: 80% Polyester, 17% Viscose, 3% Elastane.",Vesper,skirts
77,ASOS DESIGN Curve button front midi skirt with pockets in ditsy floral print,55.58,Tan floral,Part of our responsible edit     High-rise waist Button front     Two pockets Regular fit Just select your usual size,"           Lightweight, soft Lenzing™ Eco Vero™ comes from renewable sources It's made from wood pulp from responsibly managed forests Showing a fully transparent supply chain The process saves water and reduces greenhouse gas emissions by 50% Main: 100% Viscose.",ASOS DESIGN,skirts
78,Kikiriki chain detail cutout skirt with pu panel detail in metal,120.43,Black,It's already got your attention High-rise waistband    Pin-buckle straps Layered chains Studded designs Slim fit Cut close to the body,           Matte faux leather Shine-free zone  Fabric: 100% Polyester.,Kikiriki,skirts
79,Miss Sixty houndstooth mini skirt with logo tape detail,138.95,Black/white,Worth making plans for     High-rise waist    Wrap front Logo taping     Regular fit Just select your usual size,"           Wool-mix fabric For blended comfort   Body: 70% Polyester, 30% Wool.",Miss Sixty,skirts
80,ASOS DESIGN Petite co-ord skirt in fluffy yarn,46.32,Dark red,Part of a co-ord set Hoodie sold separately    High rise Stretch waistband    Midi length Regular fit Just select your usual size,"           Fuzzy knit Soft-touch style  Body: 49% Acrylic, 49% Nylon, 2% Elastane.",ASOS DESIGN,skirts
81,ASOS DESIGN midi skirt with box pleats,29.64,Black,Soft-touch jersey Box-pleat design High-rise waist    Elasticated waistband    Regular fit - true to size,"           Main: 95% Viscose, 5% Elastane.",ASOS Collection,skirts
82,Vila satin high low maxi skirt,64.84,Brown,Easily dressed up or down High rise Stretch-back waistband High-low hem Regular fit Just select your usual size,"           Lightweight viscose Soft and drapey Body: 80% Viscose, 20% Polyamide, Lining: 100% Polyester.",Vila,skirts
83,Glamorous Tall button through midaxi skirt in brushstroke print,51.88,Stone black,Easily dressed up or down Contrast print High-rise waist Button placket Regular fit Just select your usual size,           Smooth woven fabric It's light and floaty  Body: 100% Polyester.,Glamorous,skirts
84,ASOS DESIGN asymmetric pirate high low city maxi skirt,59.29,Washed orange,For your daytime thing    High rise Stretch waistband    Asymmetric hem Maxi length Regular fit Just select your usual size,           Lightweight viscose Soft and drapey Main: 100% Viscose.,ASOS DESIGN,skirts
85,Blank NYC button through denim mini skirt,120.43,Situationship (blea,For your daytime thing Mid-rise waist Button placket Functional pockets Raw-cut hem Regular fit Just select your usual size,"           Non-stretch denim Thick, rigid cotton Main: 90% Cotton, 10% Polyester.",Blank NYC,skirts
86,ASOS EDITION floral embellished midi pencil skirt,176.01,Multi,It’s a 'big look' kinda night Heavily embellished Full opaque lining High-rise waist Zip-back fastening Kick split Regular fit True to size,"           Slightly sheer chiffon The kind that doesn't stretch Lining: 100% Polyester, Main: 100% Polyester.",ASOS EDITION,skirts
87,Missguided satin midi skirt with double splits in silver,40.76,Silver,"Is that you, weekend?Mid-rise waist Side-zip fastening Split hem Regular fit Just select your usual size",           Satin-style fabric Silky and super smooth Main: 100% Polyester.,Missguided,skirts
88,ASOS DESIGN Petite tailored a-line mini skirt with scallop hem,37.05,Black,"Suitable for work and play    High-rise waistband    Scallop-edge hem    Zip-side fastening    A-line cut    Regular fit     No surprises, just a classic cut","           Smooth woven fabric The kind that stretches Body: 76% Polyester, 18% Viscose, 6% Elastane, Lining: 100% Polyester",ASOS DESIGN,skirts
89,Topshop pleated skirt in leopard print,72.26,Brown,Add-to-bag potential: considerable Stretch waistband Leopard print Thigh-high split Regular fit Just select your usual size,           Lightweight woven fabric The kind that doesn't stretch  Main: 100% Polyester.,Topshop,skirts
90,ASOS DESIGN wrap A line leather look mini skirt with snap buttons,51.88,Mustard,For your daytime thing     High-rise waist    Wrap front Snap buttons     Regular fit Just select your usual size,"           Faux leather Looks like real leather, but it's not Pointing out the obvious Coating: 100% Polyurethane, Backing: 90% Polyester, 8% Cotton, 2% Viscose, Lining: 100% Polyester.",ASOS DESIGN,skirts
91,Whistles exclusive printed bias midi skirt,201.94,Pink,For your daytime thing    Printed design High rise    Ruffle hem Regular fit Just select your usual size Exclusive to ASOS,           Lightweight viscose Soft and drapey Body: 100% Viscose.,Whistles,skirts
92,Motel mini skirt with front split in faux croc,59.29,Black croc,It’s everything you’ve been scrolling for High-rise waist Front split Zip-back fastening Bodycon fit A tight cut to the body,"           Faux leather Looks like real leather, but it's not Pointing out the obvious Body: 100% Polyester.",Motel,skirts
93,Chi Chi London Petite pleated midi skirt in pink co ord,101.9,Fuschia/white,Easily dressed up or down    High-rise waistband    Fitted waistband Ombre design    Part lined Concealed fastening    Regular fit Just select your usual size,           Slightly sheer chiffon It's light and floaty Fabric: 100% Polyester.,Chi Chi London,skirts
94,Glamorous button front midi skirt in soft faux leather,59.29,Fuschia,Daytime dressing made easy    High rise     Button placket Midi length Regular fit Just select your usual size Exclusive to ASOS,"           Faux leather Looks like real leather, but it's not Pointing out the obvious Body: 60% Polyurethane, 40% Polyester.",Glamorous,skirts
95,River Island faux leather zip through midi skirt in black,70.4,Black,Worth making plans for High rise Zip fastening Functional pockets Bodycon fit A tight cut to the body,"           Faux leather Let's be honest, no one can tell the difference  Main: 86% Viscose, 14% Polyester.",River Island,skirts
96,Noisy May leather look mini skirt with pocket detail in black,48.17,Black,For your daytime thing High rise Stretch waistband Functional pockets Regular fit Just select your usual size,"           Faux leather Let's be honest, no one can tell the difference  Body: 100% Polyester.",Noisy May,skirts
97,Verona full maxi skirt in abstract print,64.84,Burnt orange,It's already got your attention Fully lined    High-rise waist    Abstract print    Maxi length Regular fit Just select your usual size Exclusive to ASOS,"           Soft woven fabric The kind that doesn't stretch   Body: 100% Polyester, Lining: 100% Polyester.",Verona,skirts
98,Outrageous Fortune Tall midi skater skirt in hot pink,59.29,Hot pink,For that thing you have to go to    High rise Stretch waist Pleated design     Regular fit Just select your usual size,"           Smooth woven fabric The kind that stretches   Fabric: 96% Polyester, 4% Elastane.",Outrageous Fortune,skirts
