,brand,title,price,description,colour,material
399,ESPRIT,Long Sleeve Knit Sweater,S$ 69.95,"- Knitted sweatshirt with stripes
- Sizing runs one size larger
- V-neckline
- Regular fit
- Slip-on style
- Long sleeves
- Ribbed hem & cuffs
- Cotton blend
- Model wears an S and is 175cm tall",Blue Lavender,"50% Cotton, 50% Polyamide"
400,Mango,Chunky-Knit Sweater,S$ 59.90,"- Solid tone knit texture sweater
- Sizing runs one size larger
- Crew neckline
- Unlined
- Regular fit
- Slip on style
- Acrylic blend",Light Pink,"57% Acrylic, 31% Polyamide, 12% Mohair"
401,Mango,Flecked Hoodie,S$ 45.90,"- Solid shade speckled hoodie
- Sizing runs one size larger
- Hood neckline
- Regular fit
- Slip-on style
- Drawstring hood
- Long cuffed sleeves
- Polyester blend",Medium Grey,"84% Polyester, 14% Viscose, 2% Elastane"
402,FILA,FILA X 3.1 Phillip Lim Sweatshirt,S$ 248.00,"- FILA X 3.1 Phillip Lim Collection
- 100% Cotton
- Comfortable, soft and stretchable
- Good warmth retention
- Theme printing with F-box logo","Navy, Grey",100% Cotton
403,ONLY,Valentina Long Sleeve Zip Hoodie,S$ 79.00,"- Back graphic embroidered zip hoodie
- Hooded neckline
- Unlined
- Regular fit
- Zip and hood drawcord fastening
- 2 front side pockets
- Cotton
- Model wears an S and is 177cm tall",Moonbeam/Print:New York,100% Cotton
404,OVS,Casual Plain Hoodie,S$ 87.90,"- Solid-colour hoodie with brand drawstring
- Regular fit
- Slip on style
- Kangaroo pocket
- Cotton
- Model wears an XS/S and is 174cm tall",country blue,"95% Cotton, 5% Elastane"
405,A-IN GIRLS,Half-Neckline Striped Sweater,S$ 159.20,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier","brown,white","47.5% Viscose, 31.6% Polyester, 20.9% Nylon"
406,A-IN GIRLS,Vintage Loose Striped Long Sleeve T-Shirt,S$ 183.75,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",multi,"69% Cotton, 25.5% Polyester, 5.5% Spandex"
407,Mango,Open Work-Detail Sweater,S$ 59.90,"- Contrast trim perforated sweater
- Sizing runs one size larger
- Crew neckline
- Unlined
- Slim fit
- Slip on style
- Viscose blend",Light Pastel Grey,"70% Viscose, 30% Polyester"
408,adidas,Adidas Originals Bellista Crop Velvet Hoodie,S$ 119.00,"- adidas originals
- Best for lifestyle
- Signature tri stripe embroidered logo crop hoodie
- Hooded neckline
- Unlined
- Regular",Maroon,"79% Cotton, 21% Recycled Polyester"
409,Superdry,Track & Field Hoodie,S$ 119.00,"- Embossed brand graphic track hoodie
- Hooded neckline
- Unlined
- Regular fit
- Drawstring hood
- Kangaroo pocket
- Cotton blend
- Model wears a UK 8 and is 173cm tall",Black,"72% Cotton, 28% Polyester"
410,Jack Wills,Finch Boyfriend Crew Neck Sweatshirt,S$ 97.90,"- All over floral print sweatshirt with ribbed trims
- Crew neckline
- Unlined
- Regular fit
- Slip on
- Cotton",Grey/Multi,100% Cotton
411,Something Borrowed,Embroidered Pullover Sweatshirt,S$ 29.90,"- Pullover with embroidered patch detail
- Round neckline
- Regular fit
- Slip on style
- Polyester",Light Melange Grey,100% Polyester
412,A-IN GIRLS,Fashion Zipper Contrast Sweater,S$ 199.50,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier","black,white","89% polyester fiber, 11% viscose"
413,Compania Fantastica,Sweatshirt With Ruffle Detail,S$ 74.90,"- Solid-colored sweatshirt with frills
- Wide neckline
- Regular fit
- Slip-on style
- Quarter ruffled sleeves
- Cotton",Blue,100% Cotton
414,Superdry,Vintage Logo Photo Tropical Infill Hood,S$ 119.00,"- Embossed floral brand logo pullover hoodie
- Hood neckline
- Regular fit
- 1 pocket design
- Cotton blend
- Model wears a UK 8 and is 173cm tall",Ice Marl,[]
415,Guess,Guess Embroidered Logo Pullover Sweatshirt,S$ 170.00,"- Embroidered brand logo sweatshirt
- Round neckline
- Relaxed fit
- Cotton
- Model wears an S and is 180cm tall",Purple,100% Cotton
