web-scraper-order,web-scraper-start-url,link,link-href,title,brand,price,description,material,colour,category
"1573748282-12999","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","69% OFFZALORARuffles TopS$ 34.90NOW S$ 10.90International Sizes:XSSMLXL","https://www.zalora.sg/zalora-ruffles-top-white-1014358.html","Ruffles Top","ZALORA","S$ 34.90","- Solid tone ruffle detail top
- Round neckline
- Regular fit
- Button fastening
- Polyester
- Model wears an S and is 174cm tall","Polyester","Off White","Tops"
"1573782897-18713","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","GlamorousRibbed BodysuitS$ 39.90International Sizes:ML","https://www.zalora.sg/glamorous-ribbed-bodysuit-black-1236228.html","Ribbed Bodysuit","Glamorous","S$ 39.90","- Solid tone puff sleeve ribbed bodysuit
- Unlined
- Scoop neckline
- Slim fit
- Snap button closure
- Cotton blend
- Model wears an S and is 175cm tall","95%COTTON 5%ELASTANE","BLACK","Tops"
"1573762379-16320","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","ZALORA CORE3 Pack Core Women's Crew Neck Cotton T-ShirtS$ 33.90International Sizes:XSSMLXL","https://www.zalora.sg/zalora-core-3-pack-core-women-s-crew-neck-cotton-t-shirt-black-grey-white-1279904.html","3 Pack Core Women's Crew Neck Cotton T-Shirt","ZALORA CORE","S$ 33.90","- Solid tone basic tee
- Crew neckline
- Unlined
- Regular fit
- Slip on style
- Cotton","100% Cotton","Black, Mid Grey, White","Tops"
"1573762685-16377","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","50% OFFKaleidoscopeSwan Garden Long Sleeves ShirtS$ 88.00NOW S$ 44.00International Sizes:SML","https://www.zalora.sg/kaleidoscope-swan-garden-long-sleeves-shirt-white-1291310.html","Swan Garden Long Sleeves Shirt","Kaleidoscope","S$ 88.00","- Ladies swan garden long sleeves shirt with swan embroidery and patch allover, chiffon transparency in front neck, presents sex beauty.","100% Cotton","White","Tops"
"1573757826-15402","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","27% OFFBYSIPuff Sleeves Peplum TopS$ 49.00NOW S$ 35.90International Sizes:XSSMLXL","https://www.zalora.sg/bysi-puff-sleeves-peplum-top-black-1237065.html","Puff Sleeves Peplum Top","BYSI","S$ 49.00","- Wrapped monochrome peplum top
- Sweetheart neckline
- Unlined
- Regular fit
- Elasticised waist
- Polyester
- Model wears an S and is 175cm tall","100% Polyester","Black","Tops"
"1573753645-14433","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","60% OFFIts MeFresh Printed Hooded SweaterS$ 225.00NOW S$ 90.00International Sizes:ML","https://www.zalora.sg/its-me-fresh-printed-hooded-sweater-pink-1259005.html","Fresh Printed Hooded Sweater","Its Me","S$ 225.00","- Hooded Design 
 - Drawstring Adjustable 
 - Front And Rear Print Pattern 
 - Commuter Micro-Retracted Long Sleeve 
 - Small Split On The Side Of The Hem","84.6% Cotton, 15.4% Polyester Fiber","pink","null"
"1573743512-11710","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","9% OFFSuperdryVintage Goods Star Print Entry TeeS$ 59.00NOW S$ 53.90UK Sizes:1012","https://www.zalora.sg/superdry-vintage-goods-star-print-entry-tee-pink-1124527.html","Vintage Goods Star Print Entry Tee","Superdry","S$ 59.00","- All over star printed tee with vintage brand detail
- Round neckline
- Unlined
- Regular fit
- Polyblend
- Model wears a UK 8 and is 173cm tall","55% Polyester, 45% Cotton","Cherry Blossom Burn Out","Tops"
"1573770184-17366","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","45% OFFWillaTennessee Frill Neck BlouseS$ 83.90NOW S$ 45.90Available in several sizes","https://www.zalora.sg/willa-tennessee-frill-neck-blouse-white-1178525.html","Tennessee Frill Neck Blouse","Willa","S$ 83.90","- Long sleeved plain blouse with frill neck detail
- Unlined
- V neckline
- Regular fit
- Polyester
- Model wears an S and is 175cm tall","100% Polyester","Chalk","Tops"
"1573766953-16992","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","50% OFFDorothy PerkinsPetite Paisley Shirred TopS$ 69.90NOW S$ 35.00UK Sizes:681012","https://www.zalora.sg/dorothy-perkins-petite-paisley-shirred-top-multi-1188563.html","Petite Paisley Shirred Top","Dorothy Perkins","S$ 69.90","- Paisley printed button front detail top with shirred hem
- V-neckline
- Regular fit
- Button fastening
- Viscose
- Model wears a UK 8 and is 178cm tall","100% Viscose","MULTI BRIGHT","null"
"1573764452-16660","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","LubnaBasic Inner Top Scoop Neck 2 In 1S$ 22.90International Sizes:SML","https://www.zalora.sg/lubna-basic-inner-top-scoop-neck-2-in-1-white-beige-1082934.html","Basic Inner Top Scoop Neck 2 In 1","Lubna","S$ 22.90","- Solid tone scoop neck long sleeves top
- Scoop neckline
- Slim fit
- Polyblend
- Set of 2","90% Polyester, 10% Spandex","Nude/White","Tops"
