,brand,title,price,description,colour,material
85,DORINA,Outrun Push-Up Sports Bra,S$ 30.90,"- High-impact printed sports bra
- Regular fit
- Back hook fastening
- Non-removable push-up cups
- Adjustable shoulder straps
- Polyamide blend
- Model wears a size 34B and is 172cm tall",Black/Aqua,"62% Polyamide, 38% Elastane"
86,Cotton On Body,Jojo Allover Lace High Waist Brasiliano Briefs,S$ 12.99,"- Solid shade brief with lace detail
- High rise
- Regular fit
- Elasticized waistband
- Polyamide blend
- Model wears an S and is 170cm tall",Charcoal,Blend
87,Calvin Klein,Calvin Klein Full Cup Multi-way Bra With Removable Pad,S$ 109.00,nylon bra with removable pad,BLACK,[]
88,Her Own Words,Flexi Natural Push Up,S$ 61.90,"- Natural Push Up
SEAMLESS: Less irritation, clean lines
FLEXI WIRE: Embeded Flexi Wire
BREATHABLE: Light Weight
TECHNOLOGY WING: Even Pressure for Smooth Lines",Rose Pink,"Nylon, elastane"
89,LYCKA,LMM2118- Lady Sexy Lace Bra And Panty Set-Black,S$ 43.00,"-3/4 cup lace bra
-Detachable Double Shoulder Strap
-Back Hook Fastening
-Sexy and Regular Comfort",Black,Polyester
90,DORINA,Ida 2 Piece Light Padded Bra,S$ 35.90,"- Assorted bras with lace detail
- Regular fit
- Back hook fastening
- Light-padded cups with underwires
- Adjustable shoulder straps
- Pack of 2
- Polyamide blend
- Model wears a size 36C and is 175cm tall",Red/Black,[]
91,Calvin Klein,Bikini - Calvin Klein Underwear,S$ 43.00,"- Bikini cut stripe panties with logo printed waistband
- Low rise
- Regular fit
- Elasticated waistband
- Cotton blend",Prarie Pink,"90% Cotton, 10% Elastane"
92,Seoul in Love,Wedding Lingerie Set With Underwear And Head Piece,S$ 129.90,"-Latest trend in Korea and Hong Kong Magazine! - Sexy and Classy See Thru Lingerie inner wear - Soft and comfortable - Sexy from every angle-Wedding Lingerie Set with underwear and head piece , 3 items in a package- We currently do not accept returns for lingerie due to hygiene concerns- Legging not included.",white,Blend
93,Impression,Medium Control Girdle 2 Piece Bundle Pack,S$ 45.80,"- 2 piece girdle pack
- High rise
- Slim fit
- Elasticised waist
- Polyblend
- Model wears an M and is 178cm tall",Nude,Blend
94,Her Own Words,Lace Trimmed Relax Scoop Bralette,S$ 58.90,"-Elegant Lace Detail
--Non wired bralette, comes with adjustable straps
--Concealing Technology: No show through.",Cream Tan/ Bright White,Blend
95,Deshabille,Betty PJ Set White / Black,S$ 123.84,"Top
- Length (AU Small) – Top 62cm (from side neck to hem)
- Slim comfort fit
- Buttoned opening down centre front neckline
- Shell logo buttons 
- Curved hems 
- Contrast rib knit on neckline & opening edges

Pant 
- Inner leg seam Length (AU Small): 72cm
- Slim / tapered fit legging- Contrast rib knit cuffs
- Non working fly front detail with button 
- Elasticised contrast rib knit waistband & drawtring tie ",White,95% Viscose / 5% Spandex 170GSM
96,Cosabella,Never Say Never Flirtie Bandeau Bra,S$ 83.90,"- Solid tone lace bandeau bra
- No cups
- Slim fit
- Elasticated band fastening
- Cotton blend
- Model wears an S and is 180cm tall",Moon Ivory,"50% Cotton, 43% Polyamide, 7% Elastane"
97,FOREVER 21,Contrast-Trim Hipster Panties,S$ 14.00,"- Two tone low waisted panties
- Low rise
- Slim fit
- Elastic waistband
- Cotton blend",Yellow,"95% Cotton, 5% Spandex"
98,On Gossamer,Mesh Hip Bikini Cut Panties,S$ 24.50,"- Solid shade trimming detail bikini panties
- Low rise
- Slim fit
- Elasticated waistband
- Nylon
- Model wears an S and is 170cm tall",Saltwater,Nylon
99,Cosabella,Evolved Soft Bra,S$ 94.90,"- Solid tone scallop lace hem bra
- No cups
- Slim fit
- Hook fastening
- Polyamide blend
- Model wears an S and is 180cm tall",Nude Rose,Blend
